timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2025/05/26 16:27:40.602, 534 MiB, 7491 MiB, 0 %
2025/05/26 16:27:45.657, 2191 MiB, 5834 MiB, 4 %
2025/05/26 16:27:50.659, 4920 MiB, 3105 MiB, 44 %
2025/05/26 16:27:55.660, 4900 MiB, 3125 MiB, 6 %
2025/05/26 16:28:00.662, 4900 MiB, 3125 MiB, 0 %
2025/05/26 16:28:05.664, 4900 MiB, 3125 MiB, 10 %
2025/05/26 16:28:10.666, 5072 MiB, 2953 MiB, 4 %
2025/05/26 16:28:15.668, 5470 MiB, 2555 MiB, 9 %
2025/05/26 16:28:20.669, 5848 MiB, 2177 MiB, 0 %
2025/05/26 16:28:25.673, 6282 MiB, 1743 MiB, 11 %
2025/05/26 16:28:30.677, 6700 MiB, 1325 MiB, 0 %
2025/05/26 16:28:35.679, 7088 MiB, 937 MiB, 8 %
2025/05/26 16:28:40.681, 7436 MiB, 589 MiB, 0 %
2025/05/26 16:28:45.683, 7714 MiB, 311 MiB, 0 %
2025/05/26 16:28:50.685, 7866 MiB, 159 MiB, 10 %
2025/05/26 16:28:55.688, 7934 MiB, 91 MiB, 42 %
2025/05/26 16:29:00.691, 7933 MiB, 92 MiB, 53 %
2025/05/26 16:29:05.693, 7933 MiB, 92 MiB, 58 %
2025/05/26 16:29:10.695, 7933 MiB, 92 MiB, 77 %
2025/05/26 16:29:15.697, 7934 MiB, 91 MiB, 45 %
2025/05/26 16:29:20.699, 7934 MiB, 91 MiB, 73 %
2025/05/26 16:29:25.701, 7934 MiB, 91 MiB, 71 %
2025/05/26 16:29:30.703, 7934 MiB, 91 MiB, 69 %
2025/05/26 16:29:35.704, 7935 MiB, 90 MiB, 52 %
2025/05/26 16:29:40.726, 7935 MiB, 90 MiB, 65 %
2025/05/26 16:29:45.727, 7935 MiB, 90 MiB, 42 %
2025/05/26 16:29:50.729, 7935 MiB, 90 MiB, 95 %
2025/05/26 16:29:55.731, 7935 MiB, 90 MiB, 70 %
2025/05/26 16:30:00.733, 7935 MiB, 90 MiB, 84 %
2025/05/26 16:30:05.747, 7935 MiB, 90 MiB, 75 %
2025/05/26 16:30:10.749, 7935 MiB, 90 MiB, 74 %
2025/05/26 16:30:15.751, 7935 MiB, 90 MiB, 63 %
2025/05/26 16:30:20.772, 7935 MiB, 90 MiB, 66 %
2025/05/26 16:30:25.775, 7935 MiB, 90 MiB, 53 %
2025/05/26 16:30:30.777, 7935 MiB, 90 MiB, 57 %
2025/05/26 16:30:35.780, 7935 MiB, 90 MiB, 74 %
2025/05/26 16:30:40.782, 7935 MiB, 90 MiB, 79 %
2025/05/26 16:30:45.785, 7933 MiB, 92 MiB, 57 %
2025/05/26 16:30:50.787, 7938 MiB, 87 MiB, 52 %
2025/05/26 16:30:55.789, 7938 MiB, 87 MiB, 44 %
2025/05/26 16:31:00.791, 7937 MiB, 88 MiB, 52 %
2025/05/26 16:31:05.792, 7937 MiB, 88 MiB, 69 %
2025/05/26 16:31:10.795, 7937 MiB, 88 MiB, 74 %
2025/05/26 16:31:15.797, 7937 MiB, 88 MiB, 76 %
2025/05/26 16:31:20.799, 7936 MiB, 89 MiB, 48 %
2025/05/26 16:31:25.801, 7934 MiB, 91 MiB, 85 %
2025/05/26 16:31:30.803, 7934 MiB, 91 MiB, 46 %
2025/05/26 16:31:35.805, 7934 MiB, 91 MiB, 71 %
2025/05/26 16:31:40.811, 7934 MiB, 91 MiB, 90 %
2025/05/26 16:31:45.813, 7942 MiB, 83 MiB, 58 %
2025/05/26 16:31:50.815, 7942 MiB, 83 MiB, 82 %
2025/05/26 16:31:55.816, 7941 MiB, 84 MiB, 71 %
2025/05/26 16:32:00.818, 7942 MiB, 83 MiB, 75 %
2025/05/26 16:32:05.820, 7941 MiB, 84 MiB, 69 %
2025/05/26 16:32:10.822, 7936 MiB, 89 MiB, 99 %
2025/05/26 16:32:15.825, 7926 MiB, 99 MiB, 38 %
2025/05/26 16:32:20.827, 7927 MiB, 98 MiB, 95 %
2025/05/26 16:32:25.829, 7929 MiB, 96 MiB, 75 %
2025/05/26 16:32:30.832, 7931 MiB, 94 MiB, 60 %
2025/05/26 16:32:35.835, 7933 MiB, 92 MiB, 56 %
2025/05/26 16:32:40.837, 7932 MiB, 93 MiB, 68 %
2025/05/26 16:32:45.839, 7932 MiB, 93 MiB, 73 %
2025/05/26 16:32:50.841, 7932 MiB, 93 MiB, 47 %
2025/05/26 16:32:55.844, 7932 MiB, 93 MiB, 87 %
2025/05/26 16:33:00.845, 7933 MiB, 92 MiB, 50 %
2025/05/26 16:33:05.848, 7933 MiB, 92 MiB, 48 %
2025/05/26 16:33:10.850, 7933 MiB, 92 MiB, 41 %
2025/05/26 16:33:15.852, 7933 MiB, 92 MiB, 79 %
2025/05/26 16:33:20.854, 7933 MiB, 92 MiB, 78 %
2025/05/26 16:33:25.856, 7933 MiB, 92 MiB, 76 %
2025/05/26 16:33:30.859, 7933 MiB, 92 MiB, 73 %
2025/05/26 16:33:35.861, 7933 MiB, 92 MiB, 71 %
