GPU Utilization Monitor - Press Ctrl+C to stop
============================================================
Time     GPU%   Mem Used   Mem Total  Temp   Power   
   200.0   10.0       1320       8192   45.0     72.5
   201.3    9.0       1362       8192   45.0     72.6
   202.9    6.0       1322       8192   45.0     72.0
   204.3    7.0       1320       8192   45.0     73.0
   205.8   12.0       1362       8192   45.0     72.4
   207.3    9.0       1313       8192   45.0     72.4
   208.9   11.0       1355       8192   45.0     72.0
   210.4    6.0       1355       8192   45.0     71.3
   212.0   13.0       1355       8192   45.0     71.7
   213.4   12.0       1355       8192   45.0     71.6
   214.9   12.0       1355       8192   45.0     70.6
   216.3   11.0       1313       8192   45.0     71.7
   217.9    5.0       1313       8192   45.0     70.7
   219.4    7.0       1313       8192   45.0     70.9
   220.9    8.0       1355       8192   45.0     70.8
   222.3   11.0       1355       8192   45.0     72.0
   223.7    5.0       1355       8192   45.0     70.8
   225.1   10.0       1355       8192   45.0     71.0
   226.6    6.0       1355       8192   45.0     71.8
   228.1    5.0       1355       8192   45.0     70.6
   229.4    8.0       1313       8192   45.0     71.8
   231.0    5.0       1355       8192   45.0     69.7
   232.4    9.0       1355       8192   45.0     71.3
   233.7    9.0       1357       8192   45.0     73.1
   235.2    9.0       1355       8192   45.0     71.8
   236.5   11.0       1351       8192   45.0     73.0
   237.9    9.0       1351       8192   45.0     72.6
   239.3    8.0       1351       8192   45.0     72.5
   240.8    9.0       1351       8192   45.0     72.6
   242.1    9.0       1351       8192   45.0     72.6
   243.7    6.0       1311       8192   45.0     72.0
   245.1    7.0       1351       8192   45.0     72.3
   246.6    6.0       1331       8192   45.0     71.5
   248.0   12.0       1309       8192   45.0     72.6
   249.4    9.0       1351       8192   45.0     72.3
   250.8   10.0       1351       8192   45.0     72.2
   252.3    7.0       1351       8192   45.0     71.7
   253.8    9.0       1351       8192   45.0     72.8
   255.2    6.0       1351       8192   45.0     71.6
   256.7    9.0       1351       8192   45.0     71.9
   258.2    4.0       1311       8192   45.0     71.7
   259.5   10.0       1353       8192   45.0     72.7
   261.0   10.0       1351       8192   45.0     72.5
   262.4    9.0       1353       8192   45.0     71.6
   263.9   10.0       1353       8192   45.0     71.4
   265.3    4.0       1351       8192   45.0     72.0
   266.7    5.0       1308       8192   45.0     72.5
   268.1    6.0       1350       8192   45.0     72.3
   269.5    8.0       1350       8192   45.0     72.7
   270.9    8.0       1308       8192   45.0     73.0
   272.3    8.0       1350       8192   45.0     72.2
   273.7    7.0       1350       8192   45.0     72.2
   275.1   12.0       1350       8192   45.0     72.6
   276.5    6.0       1350       8192   45.0     72.1
   277.9    7.0       1350       8192   45.0     72.0
   279.3   11.0       1350       8192   45.0     72.7
   280.7   10.0       1330       8192   45.0     72.5
   282.2    8.0       1350       8192   45.0     72.0
   283.6    2.0       1308       8192   45.0     73.0
   285.1    6.0       1350       8192   45.0     71.9
   286.5    9.0       1350       8192   45.0     72.7
   287.9    9.0       1350       8192   45.0     73.3
   289.3   11.0       1350       8192   45.0     72.1
   290.8    9.0       1350       8192   45.0     72.7
   292.2   10.0       1350       8192   45.0     72.8
   293.6   10.0       1350       8192   45.0     72.1
   295.1    5.0       1350       8192   45.0     72.0
   296.4    9.0       1310       8192   45.0     73.5
   297.8   10.0       1350       8192   45.0     72.0
   299.2    6.0       1350       8192   45.0     72.5
   300.7    8.0       1312       8192   45.0     72.8
   302.2    5.0       1350       8192   45.0     72.2
   303.7    4.0       1350       8192   45.0     71.9
   305.1    7.0       1350       8192   45.0     73.9
   306.4    8.0       1350       8192   45.0     71.7
   307.9    6.0       1350       8192   45.0     72.5
   309.3    7.0       1308       8192   45.0     72.2
   310.6    9.0       1350       8192   45.0     74.0
   312.1    8.0       1350       8192   45.0     71.9
   313.5    9.0       1350       8192   45.0     72.8
   314.9   11.0       1308       8192   45.0     72.9
   316.3    5.0       1350       8192   45.0     72.2
   317.7   11.0       1352       8192   45.0     72.3
   319.1    8.0       1350       8192   45.0     72.3
   320.4    8.0       1310       8192   45.0     72.3
   321.8    9.0       1308       8192   45.0     72.3
   323.2   10.0       1352       8192   45.0     73.2
   324.8    8.0       1350       8192   45.0     72.6
   326.2    9.0       1350       8192   45.0     72.3
   327.6   18.0       1308       8192   45.0     76.3
   329.0    6.0       1350       8192   45.0     72.5
   330.4    9.0       1350       8192   45.0     72.4
   331.9    5.0       1350       8192   45.0     71.5
   333.7    6.0       1319       8192   46.0     71.8
   335.3    4.0       1377       8192   45.0     71.4
   336.8    9.0       1347       8192   46.0     72.8
   338.3    7.0       1324       8192   45.0     71.3
   339.9   10.0       1305       8192   45.0     71.0
   341.4    8.0       1347       8192   45.0     71.9
   342.8   12.0       1341       8192   46.0     73.0
   344.2   12.0       1332       8192   46.0     72.7
   345.6   12.0       1321       8192   46.0     72.8
   347.1    7.0       1320       8192   46.0     72.0
   348.4   13.0       1320       8192   45.0     73.4
   349.9   11.0       1320       8192   45.0     71.8
   351.4    8.0       1320       8192   46.0     72.5
   352.9   10.0       1320       8192   45.0     71.9
   354.4   11.0       1278       8192   46.0     73.0
   356.0    8.0       1322       8192   45.0     71.2
   357.4    7.0       1320       8192   46.0     72.2
   358.9   10.0       1320       8192   46.0     71.7
   360.4   12.0       1310       8192   45.0     72.7
   361.8    9.0       1310       8192   45.0     72.9
   363.2   10.0       1310       8192   45.0     71.6
   364.6   11.0       1310       8192   46.0     71.5
   366.1    7.0       1270       8192   45.0     71.8
   367.6   12.0       1310       8192   46.0     72.8
   369.1    7.0       1310       8192   46.0     72.8
   370.6    7.0       1311       8192   46.0     72.5
   372.0   11.0       1269       8192   46.0     72.4
   373.5   11.0       1311       8192   46.0     72.0
   374.9    8.0       1311       8192   45.0     73.6
   376.3   15.0       1311       8192   46.0     72.3
   377.9   11.0       1311       8192   46.0     72.4
   379.3    9.0       1313       8192   46.0     73.1
   380.8    9.0       1311       8192   46.0     72.5
   382.3    7.0       1311       8192   46.0     72.3
   383.7   12.0       1313       8192   46.0     72.6
   385.2    7.0       1269       8192   46.0     71.7
   386.7    8.0       1314       8192   46.0     72.1
   388.1   11.0       1312       8192   46.0     72.7
   389.6   11.0       1312       8192   46.0     72.5
   391.0   13.0       1312       8192   46.0     73.8
   392.5    7.0       1312       8192   46.0     72.9
   394.0    9.0       1312       8192   46.0     73.5
   395.5    9.0       1312       8192   46.0     72.5
   396.9   12.0       1312       8192   46.0     73.4
   398.5    8.0       1312       8192   46.0     72.6
   400.0    8.0       1310       8192   46.0     72.8
   401.4    9.0       1310       8192   46.0     72.7
   402.9   12.0       1310       8192   46.0     72.7
   404.4    9.0       1310       8192   46.0     72.0
   405.9    7.0       1316       8192   46.0     73.6
   407.5    9.0       1275       8192   46.0     72.9
   408.9   14.0       1314       8192   46.0     73.7
   410.4    9.0       1310       8192   46.0     72.7
   412.0    9.0       1310       8192   46.0     72.4
   413.5    8.0       1270       8192   46.0     73.3
   415.0   11.0       1270       8192   46.0     73.4
   416.3   11.0       1310       8192   46.0     73.1
   417.7   11.0       1310       8192   46.0     73.0
   419.0   10.0       1310       8192   46.0     72.8
   420.4   11.0       1310       8192   46.0     72.9
   421.7   13.0       1269       8192   46.0     72.8
   423.2   10.0       1266       8192   46.0     72.7
   424.6   11.0       1304       8192   46.0     72.9
   426.1    8.0       1304       8192   46.0     73.4
   427.7    8.0       1318       8192   46.0     72.5
   429.1    9.0       1354       8192   46.0     72.6
   430.5    9.0       1347       8192   46.0     73.3
   432.1   11.0       1314       8192   46.0     73.0
   433.5   12.0       1300       8192   46.0     73.5
   434.9    7.0       1300       8192   46.0     72.5
   436.4   11.0       1346       8192   47.0     76.3
   437.9    9.0       1331       8192   47.0     72.8
   439.4   10.0       1285       8192   46.0     73.2
   440.9   11.0       1306       8192   46.0     73.2
   442.5    8.0       1287       8192   46.0     72.5
   444.0   10.0       1325       8192   46.0     72.9
   445.8    8.0       1358       8192   46.0     71.7
   447.3   10.0       1372       8192   47.0     71.8
   448.8   10.0       1390       8192   47.0     71.4
   450.4    6.0       1377       8192   47.0     70.4
   451.9   13.0       1308       8192   46.0     72.5
   453.5    9.0       1341       8192   46.0     72.0
   454.8    6.0       1362       8192   46.0     72.7
   456.3    6.0       1362       8192   46.0     72.7
   457.8    4.0       1354       8192   47.0     73.8
   459.3   11.0       1344       8192   46.0     72.8
   460.6    8.0       1347       8192   47.0     72.4
   462.0   10.0       1360       8192   47.0     72.9
   463.5    6.0       1358       8192   46.0     72.7
   465.0   10.0       1352       8192   46.0     72.4
   466.3    8.0       1311       8192   46.0     73.7
   467.6    8.0       1359       8192   47.0     73.1
   469.1    4.0       1359       8192   47.0     73.1
   470.6    4.0       1318       8192   47.0     72.9
   472.1    5.0       1358       8192   47.0     73.1
   473.6    4.0       1349       8192   46.0     72.7
   475.0    4.0       1351       8192   47.0     72.2
   476.4    9.0       1307       8192   47.0     73.3
   477.9    9.0       1349       8192   47.0     73.2
   479.5    5.0       1351       8192   46.0     72.4
   480.9    5.0       1355       8192   47.0     73.3
   482.3    7.0       1355       8192   47.0     73.5
   483.6    4.0       1313       8192   47.0     73.6
   485.1    9.0       1355       8192   47.0     72.9
   486.4    6.0       1355       8192   47.0     73.0
   487.9    8.0       1355       8192   47.0     73.1
   489.2    5.0       1355       8192   47.0     72.8
   490.7    5.0       1357       8192   47.0     73.1
   492.1    8.0       1357       8192   47.0     73.5
   493.5    4.0       1359       8192   47.0     72.9
   494.8    8.0       1359       8192   47.0     73.5
   496.2   10.0       1357       8192   47.0     73.4
   497.6   10.0       1315       8192   47.0     73.3
   499.1    6.0       1357       8192   47.0     73.4
   500.6    9.0       1357       8192   47.0     72.5
   501.9    7.0       1357       8192   47.0     73.5
   503.3    9.0       1357       8192   47.0     73.5
   504.8    3.0       1317       8192   47.0     72.9
   506.2    9.0       1359       8192   47.0     73.5
   507.6    5.0       1357       8192   47.0     72.7
   509.0    5.0       1358       8192   47.0     72.6
   510.5    6.0       1362       8192   47.0     73.8
   511.9    7.0       1320       8192   47.0     73.0
   513.4    5.0       1321       8192   47.0     72.8
   514.8    7.0       1363       8192   47.0     72.9
   516.2    7.0       1363       8192   47.0     73.3
   517.6    4.0       1323       8192   47.0     73.4
   519.0    6.0       1365       8192   46.0     72.0
   520.4    8.0       1363       8192   47.0     73.0
   521.8    9.0       1365       8192   46.0     71.3
   523.2    7.0       1323       8192   47.0     73.6
   524.7    7.0       1316       8192   46.0     72.1
   526.1    8.0       1340       8192   47.0     73.9
   527.4   13.0       1334       8192   47.0     73.3
   528.8   10.0       1336       8192   47.0     73.8
   530.3   13.0       1343       8192   47.0     73.9
   531.7   10.0       1343       8192   47.0     72.3
   533.1    8.0       1350       8192   47.0     73.9
   534.5    8.0       1350       8192   47.0     73.1
   535.9   12.0       1357       8192   47.0     72.9
   537.3   11.0       1358       8192   47.0     73.7
